Designator,Manufacturer,Part Number,CPN,FabLevel,DNI,Quantity,Ref-X(Mil),Ref-Y(Mil),Rotation,Layer
R35,Vishay,SR03-1001,,,,1,3662,3543,180,Bottom
R36,Yageo,RC0603FR-073KL,,,,1,2650,5100,270,Bottom
R37,Advanced Photonix,PDV-P9103,,,,1,2520,5020,90,Bottom
R38,Yageo,RC0603FR-073KL,,,,1,5400,5130,180,Top
R39,Advanced Photonix,PDV-P9103,,,,1,5480,5020,270,Bottom
R40,Yageo,RC0603FR-073KL,,,,1,2695,3010,90,Bottom
R41,Advanced Photonix,PDV-P9103,,,,1,2520,2980,90,Bottom
R42,Yageo,RC0603FR-073KL,,,,1,5020,3955,180,Bottom
R43,Advanced Photonix,PDV-P9103,,,,1,5480,2980,90,Bottom
R44,Vishay,SR03-1002,,,,1,3240,2979,0,Top
R45,Vishay,SR03-1002,,,,1,4000,2980,0,Top
R46,Vishay,SR03-1002,,,,1,4750,2984,0,Top
R47,Panasonic,ERJ-3GEYJ223V,,,,1,2685,3655,90,Top
R48,Bourns,CR0603-JW-105GLF,,,,1,2640,3950,0,Bottom
R49,Bourns,CR0603-JW-105GLF,,,,1,3319,4872,0,Bottom
R50,Panasonic,ERJ-3GEYJ104V,,,,1,2815,4750,90,Bottom
R51,Panasonic,ERJ-3GEYJ473V,,,,1,2880,4600,90,Bottom
R52,Vishay,SR03-1002,,,,1,3430,4261,270,Bottom
R53,Vishay,SR03-1002,,,,1,3175,4255,270,Bottom
R54,Stackpole,RMCF0603JT10R0,,,,1,3330,4370,270,Bottom
R55,Stack Pole,RMCF0603FT20R0,,,,1,3400,4390,0,Bottom
R56,Panasonic,,,,,1,3385,4175,90,Bottom
R57,Stack Pole,RMCF0603FT20R0,,,,1,3194,4389,180,Bottom
R58,Panasonic,ERJ-3GEYJ470V,,,,1,4245,2410,270,Bottom
R59,Panasonic,ERJ-3GEYJ470V,,,,1,4135,2410,270,Bottom
R60,Panasonic,ERJ-3GEYJ223V,,,,1,3225,4175,90,Bottom
R63,Vishay,SR03-1001,,,,1,5120,4285,180,Bottom
R64,Panasonic,ERJ-3GEYJ101V,,,,1,4450,4915,270,Bottom
R65,Panasonic,ERJ-3GEYJ-222V,,,,1,3585,3715,0,Bottom
R66,Panasonic,ERJ-3GEYJ-222V,,,,1,3585,3665,0,Bottom
R67,Panasonic,ERJ-3GEYJ101V,,,,1,2435,3865,180,Bottom
SW1,Panasonic,EVQ-P0N02B,,,,1,4435,2265,104,Top
SW2,Panasonic,EVQ-P0N02B,,,,1,3250,3124,0,Top
SW3,Panasonic,EVQ-P0N02B,,,,1,4000,3127,0,Top
SW4,Panasonic,EVQ-P0N02B,,,,1,4750,3124,0,Top
T0,Osram,IRL 80A,,,,1,4000,5872,270,Bottom
T1,Osram,IRL 80A,,,,1,2677,5323,315,Bottom
T2,Osram,IRL 80A,,,,1,2128,4000,0,Bottom
T3,Osram,IRL 80A,,,,1,2677,2677,45,Bottom
T4,Osram,IRL 80A,,,,1,4000,2128,90,Bottom
T5,Osram,IRL 80A,,,,1,5323,2677,135,Bottom
T6,Osram,IRL 80A,,,,1,5872,4000,180,Bottom
T7,Osram,IRL 80A,,,,1,5323,5323,225,Bottom
T_1,,,,Intrinsic,,1,4400,5675,90,Top
T_FL1,,,,Intrinsic,,1,2570,5090,90,Top
T_FR1,,,,Intrinsic,,1,5625,4935,90,Top
T_GND1,,,,Intrinsic,,1,4170,5675,90,Top
T_IR1,,,,Intrinsic,,1,3185,5515,90,Top
T_IR2,,,,Intrinsic,,1,4860,2455,90,Top
T_PWM1,,,,Intrinsic,,1,4433,4516,90,Top
T_PWM2,,,,Intrinsic,,1,4433,4441,90,Top
T_QEI1,,,,Intrinsic,,1,3890,4510,90,Top
T_QEI2,,,,Intrinsic,,1,4154,4515,90,Top
T_RST1,,,,Intrinsic,,1,5370,3170,0,Top
T_RX1,,,,Intrinsic,,1,5315,3105,90,Top
T_SW_R1,,,,Intrinsic,,1,5170,3120,90,Top
T_T1,,,,Intrinsic,,1,3745,5870,90,Top
T_T2,,,,Intrinsic,,1,4225,2260,90,Top
T_TX1,,,,Intrinsic,,1,5245,3055,90,Top
T_VBAT1,,,,Intrinsic,,1,4870,5255,90,Top
U1,TI,LM3S8962,,,,1,4661,4321,0,Bottom
U2,TI,SN74HC138PWR,,,,1,4591,5118,180,Bottom
U3,FTDI,FT232RL,,,,1,3990,2640,0,Bottom
U4,TI,SN74AHCT595PW,,,,1,4810,3585,0,Bottom
U5,TI,TLC59116IRHBR,,,,1,3604,3382,180,Bottom
U6,Nordic Semiconductor,nRF24L01+,,,,1,2605,3818.189,0,Bottom
U7,VLSI Solution,VS1053,,,,1,3298,4634,0,Bottom
U8,TI,TPA741DGNR,,,,1,2990,4350,90,Bottom
U9,TI,TLV70018DSET,,,,1,2918,4753,270,Bottom
XTAL1,Abracon,ABM3B-8.000MHZ-10-1-U-T,,,,1,4960,4785,0,Bottom
XTAL2,Abracon,ABM3B-16.000MHZ-10-1-U-T,,,,1,2630,4068.189,0,Bottom
XTAL3,Abracon,ABM3B-12.288MHZ-10-1-U-T,,,,1,3330,4990,180,Bottom
